date,open,high,low,close,month,ret,ret5,sma20,sma50,fast,slow,prior,mom1,gate_pick,gate_forecast,GVZ,gvz_q90_252,gvz_stress,mtd_peak,mtd_trough,mtd_dd,mtd_up,price_emg_down,price_emg_up,macro_score,macro_series,event_down,bocpd_alarm_month,pos,action,reason,evidence,turn,strat_ret,equity,bh_ret,bh_equity
2026-05-12,4740.48,4769.58,4737.25,4765.54,2026-05,0.01703256482981308,0.04594618322286115,4700.349,4762.6314,0,-1,-1,-1,momentum,4714.24120498,27.16,34.947,False,4765.54,4556.2,0.0,0.04594618322286115,False,True,0,,False,False,1,AL,PRICE_EMERGENCY_UP,PRICE_SHOCK_UP,1.0,-0.001,1.062264304917516,0.01703256482981308,1.103555756249492
2026-05-13,4717.42,4723.98,4712.67,4719.33,2026-05,-0.009696697541097143,0.020380232082974015,4696.767,4755.2122,1,-1,-1,-1,momentum,4714.24120498,26.56,34.947,False,4765.54,4556.2,-0.009696697541097143,0.035803959439884236,False,False,0,,False,False,1,TUT,HOLD,TACTICAL_EARLY_REVERSAL,0.0,-0.009696697541097143,1.051963849244027,-0.009696697541097143,1.092854909861404
2026-05-14,4692.55,4702.25,4688.75,4696.81,2026-05,-0.004771863802700671,-0.0007148677601022113,4692.101000000001,4746.365,1,-1,-1,-1,momentum,4714.24120498,25.79,34.947,False,4765.54,4556.2,-0.014422290023795692,0.030861244019138923,False,False,0,,False,False,1,TUT,HOLD,TACTICAL_EARLY_REVERSAL,0.0,-0.004771863802700671,1.0469440210300698,-0.004771863802700671,1.0876399550754325
2026-05-15,4648.85,4665.42,4646.52,4649.94,2026-05,-0.009979113483406965,-0.013890538316678858,4681.2195,4737.7054,0,-1,-1,-1,momentum,4714.24120498,26.34,34.947,False,4765.54,4556.2,-0.024257481838364625,0.0205741626794258,False,False,0,,False,False,1,TUT,HOLD,MIXED_NEUTRAL,0.0,-0.009979113483406965,1.0364964478334364,-0.009979113483406965,1.076786272534647
2026-05-18,4538.16,4555.47,4527.74,4533.72,2026-05,-0.024993870888656455,-0.032441049740381867,4666.870000000001,4724.8956,-1,-1,-1,-1,momentum,4714.24120498,26.2,34.947,False,4765.54,4533.72,-0.048645064357869194,0.0,False,False,0,,False,False,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,-0.024993870888656455,1.0105903894397366,-0.024993870888656455,1.0498732154642385
2026-05-19,4569.65,4589.54,4464.77,4481.66,2026-05,-0.011482844110355384,-0.059569324777464905,4653.571000000001,4711.785,-1,-1,-1,-1,momentum,4714.24120498,26.63,34.947,False,4765.54,4481.66,-0.059569324777464905,0.0,True,False,0,,False,False,1,TUT,HOLD,PRICE_SHOCK_DOWN,0.0,-0.011482844110355384,0.9989859375383767,-0.011482844110355384,1.037817684995425
2026-05-20,4482.81,4552.99,4453.38,4543.85,2026-05,0.013876554669475238,-0.03718324423170227,4643.496,4698.8094,-1,-1,-1,-1,momentum,4714.24120498,25.17,34.947,False,4765.54,4481.66,-0.0465193870998879,0.013876554669475238,False,False,0,,False,False,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,0.013876554669475238,1.012848420514665,0.013876554669475238,1.0522190188382123
2026-05-21,4547.15,4570.9,4488.6,4542.61,2026-05,-0.00027289633240545896,-0.032830793666339675,4634.227,4686.1192,-1,-1,-1,-1,momentum,4714.24120498,24.59,34.947,False,4765.54,4481.66,-0.04677958846216801,0.013599871476194014,False,False,0,,False,False,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,-0.00027289633240545896,1.0125720178954238,-0.00027289633240545896,1.051931872127084
2026-05-22,4541.66,4546.1,4491.95,4508.04,2026-05,-0.007610162439654622,-0.030516522793842427,4624.709,4674.6856,-1,-1,-1,-1,momentum,4714.24120498,23.86,34.947,False,4765.54,4481.66,-0.054033750634765454,0.005886211805447017,False,False,0,,False,False,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,-0.007610162439654622,1.0048661803573908,-0.007610162439654622,1.043926499704747
2026-05-25,4540.01,4580.24,4539.83,4570.57,2026-05,0.013870773107603318,0.00812798320143271,4619.2385,4665.7208,-1,-1,-1,-1,momentum,4714.24120498,23.86,34.947,False,4765.54,4481.66,-0.04091246742236987,0.019838631221467118,False,False,0,,False,False,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,0.013870773107603318,1.0188044511486323,0.013870773107603318,1.0584065673231662
