date,open,high,low,close,month,ret,sma20,fast_raw,fast,slow,prior,pos,turn,strat_ret,equity
2023-10-04,1821.95,1830.54,1816.58,1820.82,2023-10,-0.0009711454578374967,1896.477,-1.0,-1,-1,-1,0,0.0,-0.0,1.0651133857231374
2023-10-05,1821.34,1829.18,1813.01,1819.78,2023-10,-0.0005711712305445094,1891.489,-1.0,-1,-1,-1,0,0.0,-0.0,1.0651133857231374
2023-10-06,1819.75,1834.84,1810.41,1832.76,2023-10,0.007132730330039916,1887.1815,-1.0,-1,-1,-1,0,0.0,0.0,1.0651133857231374
2023-10-09,1845.8,1863.41,1844.11,1860.84,2023-10,0.015321154979375251,1884.1135000000002,-1.0,-1,-1,-1,0,0.0,0.0,1.0651133857231374
2023-10-10,1861.07,1865.4,1852.93,1859.85,2023-10,-0.0005320177984136087,1881.4360000000001,-1.0,-1,-1,-1,0,0.0,-0.0,1.0651133857231374
2023-10-11,1859.23,1877.18,1858.57,1873.74,2023-10,0.007468344221308154,1879.7224999999999,-1.0,-1,-1,-1,0,0.0,0.0,1.0651133857231374
2023-10-12,1874.43,1885.04,1867.87,1868.49,2023-10,-0.0028018828652854877,1877.6204999999998,-1.0,-1,-1,-1,0,0.0,-0.0,1.0651133857231374
2023-10-13,1867.71,1932.82,1867.71,1932.61,2023-10,0.0343164801524225,1878.0735,1.0,0,-1,-1,0,0.0,0.0,1.0651133857231374
2023-10-16,1926.92,1928.74,1908.12,1919.78,2023-10,-0.006638690682548409,1877.3789999999997,1.0,1,0,-1,0,0.0,-0.0,1.0651133857231374
2023-10-17,1919.6,1931.51,1912.32,1922.83,2023-10,0.001588723707924844,1876.9649999999997,1.0,1,0,-1,0,0.0,0.0,1.0651133857231374
2023-10-18,1923.12,1962.55,1922.99,1947.35,2023-10,0.012752037361597246,1877.8259999999998,1.0,1,0,-1,0,0.0,0.0,1.0651133857231374
2023-10-19,1946.75,1977.68,1945.18,1974.13,2023-10,0.013752021978586493,1880.5435000000002,1.0,1,0,-1,0,0.0,0.0,1.0651133857231374
2023-10-20,1973.96,1997.11,1971.95,1981.38,2023-10,0.0036725038371332452,1883.352,1.0,1,0,-1,0,0.0,0.0,1.0651133857231374
2023-10-23,1965.36,1982.78,1964.29,1972.63,2023-10,-0.004416114021540518,1886.2295,1.0,1,1,-1,0,0.0,-0.0,1.0651133857231374
2023-10-24,1972.55,1980.79,1953.4,1970.57,2023-10,-0.0010442911240324815,1889.7454999999998,1.0,1,1,-1,0,0.0,-0.0,1.0651133857231374
2023-10-25,1970.91,1987.19,1962.94,1979.15,2023-10,0.0043540701421416195,1894.971,1.0,1,1,-1,0,0.0,0.0,1.0651133857231374
