target,origin,actual_dir,dir3,flat,real10,usd,ry1,ry3,usd1,usd3,alarm_frozen,pred_frozen
2019-11-01,2019-10-01,-1.0,1.0,False,0.15,115.9125,0.0,-0.11000000000000001,-0.017241773996766407,0.003618350987838248,False,1.0
2019-12-01,2019-11-01,1.0,-1.0,False,0.17,117.1204,0.020000000000000018,0.22000000000000003,0.010420791545346697,-0.00877726763007003,False,-1.0
2020-01-01,2019-12-01,1.0,-1.0,False,0.15,114.669,-0.020000000000000018,0.0,-0.020930597914624705,-0.02778472539575283,False,-1.0
2020-02-01,2020-01-01,1.0,1.0,False,-0.14,115.7345,-0.29000000000000004,-0.29000000000000004,0.009291962082166982,-0.0015356411085948318,True,-1.0
2020-03-01,2020-02-01,-1.0,1.0,False,-0.28,117.6568,-0.14,-0.45000000000000007,0.016609567587884344,0.0045799023910437775,True,-1.0
2020-04-01,2020-03-01,1.0,1.0,False,-0.17,122.5301,0.11000000000000001,-0.32,0.04141962045542624,0.06855470964253652,True,-1.0
2020-05-01,2020-04-01,1.0,1.0,False,-0.43,122.327,-0.26,-0.29,-0.0016575518994924598,0.056962271405674114,False,1.0
2020-06-01,2020-05-01,1.0,1.0,False,-0.5,120.9458,-0.07,-0.21999999999999997,-0.011291047765415563,0.027954185393449515,False,1.0
2020-07-01,2020-06-01,1.0,1.0,False,-0.68,120.4649,-0.18000000000000005,-0.51,-0.003976161222630337,-0.016854634085828768,False,1.0
2020-08-01,2020-07-01,1.0,1.0,False,-1.0,117.2082,-0.31999999999999995,-0.5700000000000001,-0.02703443077610157,-0.04184521814480857,False,1.0
2020-09-01,2020-08-01,-1.0,1.0,False,-1.08,115.7586,-0.08000000000000007,-0.5800000000000001,-0.01236773536322544,-0.042888632759467527,False,1.0
2020-10-01,2020-09-01,-1.0,1.0,False,-0.94,116.946,0.14000000000000012,-0.2599999999999999,0.010257553218508075,-0.02921099839040253,True,-1.0
2020-11-01,2020-10-01,-1.0,1.0,False,-0.82,116.1354,0.12,0.18000000000000005,-0.0069314042378533225,-0.009152943224108867,True,-1.0
2020-12-01,2020-11-01,-1.0,-1.0,False,-0.93,113.2256,-0.1100000000000001,0.15000000000000002,-0.025055237248935325,-0.021881743559441835,False,-1.0
2021-01-01,2020-12-01,1.0,-1.0,False,-1.06,111.3169,-0.13,-0.1200000000000001,-0.01685749512477741,-0.04813418158808336,False,-1.0
2021-02-01,2021-01-01,-1.0,-1.0,False,-1.02,111.9511,0.040000000000000036,-0.20000000000000007,0.005697248126744325,-0.03602949660482513,False,-1.0
2021-03-01,2021-02-01,-1.0,-1.0,False,-0.71,112.8306,0.31000000000000005,0.22000000000000008,0.007856108604560541,-0.0034886103496029053,False,-1.0
2021-04-01,2021-03-01,1.0,-1.0,False,-0.63,113.8234,0.07999999999999996,0.43000000000000005,0.008799031468413654,0.022516796640941417,False,-1.0
2021-05-01,2021-04-01,1.0,-1.0,False,-0.76,112.0839,-0.13,0.26,-0.015282446315959652,0.00118623220316727,False,-1.0
2021-06-01,2021-05-01,-1.0,1.0,False,-0.84,110.7576,-0.07999999999999996,-0.13,-0.011833100025962717,-0.018372675497604463,False,1.0
2021-07-01,2021-06-01,-1.0,1.0,False,-0.87,112.5533,-0.030000000000000027,-0.24,0.01621288290826084,-0.011158513978672291,True,-1.0
2021-08-01,2021-07-01,-1.0,1.0,False,-1.16,112.6714,-0.2899999999999999,-0.3999999999999999,0.0010492806519224462,0.005241609187403462,True,-1.0
