origin_index,origin_date,target_date,y,p_cal,p_raw,p_50,p_frequency,p_fast_only,p_static_logistic,p_equal_candidates,config_id,ridge_lambda,state_discount,dma_alpha,calibration_n,calibration_intercept,calibration_slope,direction,candidate_weights
167,2025-11-19,2025-11-20,0,0.5601049864134262,0.5948408907477337,0.5,0.5803571428571429,0.5706564229691417,0.5868112716071998,0.5965123398763277,L4_D0.99_A1,4.0,0.99,1.0,107,0.7210496738506128,-1.2485518531982274,UNCERTAIN,"[0.41871719600993423,0.2865336659490228,0.29474913804104297]"
168,2025-11-20,2025-11-21,0,0.5730981748932572,0.580399524656971,0.5,0.5769230769230769,0.5660932788079103,0.5767285177186635,0.5814391718693237,L4_D0.99_A1,4.0,0.99,1.0,108,0.7127583023647598,-1.2892653544631634,UNCERTAIN,"[0.43044955411992036,0.2804534760285691,0.2890969698515106]"
169,2025-11-21,2025-11-23,1,0.5895335276220869,0.5634484725812119,0.5,0.5735294117647058,0.5616017485216788,0.5481623283474676,0.5631007587217381,L4_D0.99_A1,4.0,0.99,1.0,109,0.6910333392917845,-1.2893234976026018,UNCERTAIN,"[0.43667845161570557,0.27709766227830723,0.2862238861059871]"
170,2025-11-23,2025-11-24,1,0.583931579557352,0.571031047524198,0.5,0.5760233918128655,0.5650527989363937,0.5527783704556617,0.5708325384874798,L4_D0.99_A1,4.0,0.99,1.0,110,0.7175770426186288,-1.3236531416320398,UNCERTAIN,"[0.4381683319640842,0.27659445450768,0.28523721352823583]"
171,2025-11-24,2025-11-25,0,0.5780339186333158,0.5784011662777457,0.5,0.5784883720930233,0.5684495076021551,0.5572999416297678,0.5783465079146285,L4_D0.99_A1,4.0,0.99,1.0,111,0.7393448029928382,-1.3428814609170432,UNCERTAIN,"[0.43900272964478165,0.2763944750522365,0.2846027953029818]"
172,2025-11-25,2025-11-26,1,0.5859126061421592,0.5685602410089405,0.5,0.5751445086705202,0.5640445328663729,0.5517216737934646,0.56832171994929,L4_D0.99_A1,4.0,0.99,1.0,112,0.7162352458984359,-1.3375696819961929,UNCERTAIN,"[0.4386790249716503,0.2762881862597834,0.28503278876856625]"
173,2025-11-26,2025-11-27,0,0.5800133151853158,0.5758562137748031,0.5,0.5775862068965517,0.5673968866930825,0.5561643691557416,0.5757559209242873,L4_D0.99_A1,4.0,0.99,1.0,113,0.7391628252001203,-1.3615256243474463,UNCERTAIN,"[0.4396772109724382,0.27600014151592883,0.28432264751163294]"
174,2025-11-27,2025-11-28,1,0.5877432189277662,0.5662162676727034,0.5,0.5742857142857143,0.563067009688005,0.5507064065760952,0.5659429111204677,L4_D0.99_A1,4.0,0.99,1.0,114,0.7141240417117156,-1.3492485585170721,UNCERTAIN,"[0.43910861989968464,0.27602626475290337,0.284865115347412]"
175,2025-11-28,2025-11-30,0,0.5818747061706644,0.5734407240869929,0.5,0.5767045454545454,0.5663761102043497,0.5550728625350493,0.5733000304973819,L4_D0.99_A1,4.0,0.99,1.0,115,0.7380874516682414,-1.3775227708922317,UNCERTAIN,"[0.4402498394171496,0.27566060701828443,0.28408955356456606]"
176,2025-11-30,2025-12-01,1,0.5894216157819931,0.5639897195833582,0.5,0.5734463276836158,0.5621188465269286,0.5497301836436663,0.5636861789635009,L4_D0.99_A1,4.0,0.99,1.0,116,0.7112795234636278,-1.3587611783230742,UNCERTAIN,"[0.43946954202740507,0.27580217860910483,0.2847282793634901]"
177,2025-12-01,2025-12-02,0,0.583610842711182,0.5711451765446663,0.5,0.5758426966292135,0.5653857569742564,0.5540229112958955,0.5709688465009616,L4_D0.99_A1,4.0,0.99,1.0,117,0.7361639935811932,-1.3909778693235513,UNCERTAIN,"[0.44073528754660884,0.2753682506965831,0.28389646175680794]"
178,2025-12-02,2025-12-03,0,0.590947475311412,0.5618721172596219,0.5,0.5726256983240223,0.5611987420702895,0.5487907990452932,0.5615425629755467,L4_D0.99_A1,4.0,0.99,1.0,118,0.7077410874346911,-1.3661875802557826,UNCERTAIN,"[0.43977230189721006,0.2756103992252638,0.2846172988775262]"
